'2014-A49',2456881.50,2014,08,12,'Nudol','-','-','-','GIK-1','',1,'Test'
'2015-A38',2457134.50,2015,04,22,'Nudol','-','-','-','GIK-1','',0,'Test'
'2015-S79',2457344.50,2015,11,18,'Nudol','-','-','A-235','GIK-1','',100,'Test'
'2016-S31',2457533.50,2016,05,25,'Nudol','-','-','A-235','GIK-1','',100,'Test'
'2016-S67',2457738.94,2016,12,16,'Nudol','-','-','-','GIK-1','c',100,'Test'
'2018-S18',2458203.68,2018,03,26,'Nudol','-','-','GVM','GIK-1','',500,'Test'
'2018-S83',2458475.64,2018,12,23,'Nudol','-','No. 0102','GVM','GIK-1','o',500,'Test'
'2020-S20',2458955.12,2020,04,15,'Nudol','-','-','GVM?','GIK-1','',500,'Test'
'2007-A13',2454436.72,2007,12,02,'AAD','-','01','-','CHAN','',15,'Test'
'2007-A12',2454440.73,2007,12,06,'AAD','-','02','-','CHAN','',15,'Test'
'2010-A04',2455403.69,2010,07,26,'AAD','-','03?','-','CHAN','',15,'Intercep'
'2011-A03',2455626.67,2011,03,06,'AAD','-','04?','-','CHAN','',16,'Intercep'
'2011-A04',2455763.62,2011,07,21,'Prahaar','-','-','-','CHAN','',35,'Test'
'2012-A01',2455967.70,2012,02,10,'AAD','-','05','-','CHAN','',15,'Intercep'
'2012-A24',2456254.81,2012,11,23,'AAD','-','-','-','CHAN','',15,'Intercep'
'2017-A128',2457813.70,2017,03,01,'AAD','-','-','-','CHAN','',15,'Intercep'
'2017-A129',2458115.50,2017,12,28,'AAD','-','-','-','CHAN','',30,'Intercep'
'1989-M05',2447865.50,1989,12,05,'Al Abid','-','-','-','ANBAR','1',25,'Test'
'1952-A32',2434062.12,1952,02,19,'Aerobee RTV-A-1c','-','USAF 22','-','HADC','',0,'Aeronomy'
'1961-A223',2437596.50,1961,10,24,'Seabee','-','SEABEE','-','PM','3',1,'Test'
'1961-A267',2437605.50,1961,11,02,'Seabee','-','SEABEE','-','PM','',1,'Test'
'1947-A18',2432453.50,1947,09,25,'Aerobee RTV-N-8','-','A1','-','WS','',1,'Test'
'1947-A20',2432460.50,1947,10,02,'Aerobee RTV-N-8','-','A2','-','WS','',1,'Test'
'1947-A27',2432489.50,1947,10,31,'Aerobee RTV-N-8','-','A3','-','WS','',1,'Test'
'1947-M06',2432514.22,1947,11,24,'Aerobee RTV-N-8','-','A4','-','WS','',56,'CR'
'1948-S03',2432616.45,1948,03,05,'Aerobee RTV-N-8','-','A5','-','WS','7',118,'CR'
'1948-S05',2432655.40,1948,04,13,'Aerobee RTV-N-8','-','A6','-','WS','',114,'Magnetos'
'1948-S08',2432759.20,1948,07,26,'Aerobee RTV-N-8','-','A7','-','WS','',113,'Earth im'
'1948-S11',2432769.57,1948,08,06,'Aerobee RTV-N-8','-','NRL 1','-','WS','',98,'Aeron/So'
'1948-S19',2432857.51,1948,11,02,'Aerobee RTV-N-8','-','A8','-','WS','',91,'Particle'
'1948-S25',2432895.44,1948,12,09,'Aerobee XASR-SC-1','-','SC 1','-','WS','',91,'Aeronomy'
'1949-S01',2432945.76,1949,01,29,'Aerobee RTV-N-8','-','NRL 2','-','WS','',96,'Ionos/So'
'1949-A04',2432949.28,1949,02,01,'Aerobee RTV-N-8','-','NRL 3','-','WS','',0,'Solar UV'
'1949-A06',2432976.50,1949,03,01,'Aerobee RTV-N-8','-','A9','-','WS','',1,'Test'
'1949-S04',2432993.47,1949,03,17,'Aerobee RTV-N-8','-','A10','-','USN49A','7',105,'Ionosphe'
'1949-S06',2432998.22,1949,03,22,'Aerobee RTV-N-8','-','A11','-','USN49A','',105,'Ionosphe'
'1949-A07',2433000.13,1949,03,24,'Aerobee RTV-N-8','-','A12','-','USN49A','',5,'Ionosphe'
'1949-M03',2433070.05,1949,06,02,'Aerobee XASR-SC-1','-','SC 2','-','WS','',78,'Aeronomy'
'1949-S16',2433082.59,1949,06,15,'Aerobee RTV-N-8','-','NRL 5','-','WS','',109,'Solar UV'
'1949-S17',2433084.99,1949,06,17,'Aerobee RTV-N-8','-','A13','-','WS','',88,'Test'
'1949-S18',2433091.47,1949,06,23,'Aerobee RTV-N-8','-','A14','-','WS','',88,'Particle'
'1949-M04',2433119.17,1949,07,21,'Aerobee XASR-SC-1','-','SC 4','-','WS','',76,'Aeronomy'
'1949-M06',2433180.21,1949,09,20,'Aerobee XASR-SC-1','-','SC 5','-','WS','',58,'Aeronomy'
'1949-S45',2433253.43,1949,12,02,'Aerobee RTV-A-1','-','USAF 1','-','HADC','',96,'Solar X/'
'1949-M08',2433257.27,1949,12,06,'Aerobee XASR-SC-1','-','SC 3','-','WS','',65,'Aeronomy'
'1949-M09',2433257.51,1949,12,07,'Aerobee XASR-SC-1','-','SC 7','-','WS','',60,'Aeronomy'
'1949-A28',2433266.22,1949,12,15,'Aerobee RTV-A-1','-','USAF 2','-','HADC','',0,'Solar X/'
'1950-M01',2433297.49,1950,01,15,'Aerobee RTV-N-10','-','A15','-','USN50A','',72,'Particle'
'1950-M02',2433300.47,1950,01,18,'Aerobee RTV-N-10','-','A16','-','USN50A','',80,'Particle'
'1950-S01',2433327.47,1950,02,14,'Aerobee RTV-N-8','-','NRL 4','-','WS','8',87,'Ionosphe'
'1950-A07',2433334.54,1950,02,22,'Aerobee XASR-SC-1','-','SC 9','-','WS','',49,'Aeronomy'
'1950-M04',2433344.52,1950,03,04,'Aerobee XASR-SC-1','-','SC 6','-','WS','',72,'Aeronomy'
'1950-A11',2433355.36,1950,03,14,'Aerobee RTV-A-1','-','USAF 3','-','HADC','',3,'Solar X/'
'1950-S03',2433397.55,1950,04,26,'Aerobee XASR-SC-2','-','SC 11','-','WS','',100,'Aeronomy'
'1950-S05',2433414.02,1950,05,12,'Aerobee RTV-N-10','-','A17','-','WS','',88,'Particle'
'1950-M05',2433428.32,1950,05,26,'Aerobee RTV-A-1','-','USAF 4','-','HADC','',67,'Solar UV'
'1950-A25',2433435.21,1950,06,02,'Aerobee RTV-A-1','-','USAF 5','-','HADC','',24,'Opt Astr'
'1950-S06',2433453.15,1950,06,20,'Aerobee RTV-A-1','-','USAF 6','-','HADC','y',93,'Aeronomy'
'1950-M07',2433476.86,1950,07,14,'Aerobee XASR-SC-1','-','SC 8','-','WS','5',69,'Aeronomy'
'1950-A31',2433497.49,1950,08,03,'Aerobee RTV-N-10','-','NRL 6','-','WS','',6,'Solar UV'
'1950-S07',2433511.16,1950,08,17,'Aerobee RTV-N-10','-','A18','-','WS','',101,'Aeronomy'
'1950-S11',2433567.32,1950,10,12,'Aerobee RTV-A-1','-','USAF 7','-','HADC','',87,'Imaging'
'1950-M10',2433571.67,1950,10,17,'Aerobee XASR-SC-2','-','SC 10','-','WS','5',80,'Aeronomy'
'1950-S12',2433572.69,1950,10,18,'Aerobee XASR-SC-2','-','SC 12','-','WS','',85,'Aeronomy'
'1950-M11',2433582.06,1950,10,27,'Aerobee XASR-SC-2','-','SC 13','-','WS','',80,'Aeronomy'
'1950-S19',2433588.19,1950,11,02,'Aerobee RTV-A-1','-','USAF 8','-','HADC','',92,'Aeronomy'
'1950-A62',2433627.21,1950,12,11,'Aerobee XASR-SC-2','-','SC 15','-','WS','',1,'Aeronomy'
'1950-S25',2433627.67,1950,12,12,'Aerobee XASR-SC-2','-','SC 14','-','WS','5',84,'Aeronomy'
'1950-M14',2433627.88,1950,12,12,'Aerobee XASR-SC-2','-','SC 16','-','WS','5',77,'Aeronomy'
'1950-S26',2433628.27,1950,12,12,'Aerobee RTV-A-1','-','USAF 9','-','HADC','',106,'Aeronomy'
'1950-S27',2433635.29,1950,12,19,'Aerobee XASR-SC-2','-','SC 17','-','WS','',82,'Aeronomy'
'1951-S01',2433669.45,1951,01,22,'Aerobee RTV-N-10','-','A19','-','WS','',88,'Aeronomy'
'1951-S02',2433672.12,1951,01,25,'Aerobee RTV-N-10','-','A20','-','WS','',90,'Aeron'
'1951-S08',2433684.22,1951,02,06,'Aerobee RTV-N-10','-','A21','-','WS','',98,'Imaging'
'1951-M03',2433734.47,1951,03,28,'Aerobee RTV-A-1','-','USAF 10','-','HADC','',66,'Aeronomy'
'1951-A12',2433749.23,1951,04,12,'Aerobee RTV-A-1','-','USAF 11','-','HADC','',29,'Solar UV'
'1951-M04',2433755.28,1951,04,18,'Aerobee RTV-A-1','-','USAF 12','-','HADC','',61,'Biology'
'1951-A24',2433796.32,1951,05,29,'Aerobee RTV-A-1','-','USAF 13','-','HADC','',4,'Ionos'
'1951-S09',2433805.51,1951,06,08,'Aerobee RTV-A-1','-','USAF 14','-','HADC','',88,'Solar X/'
'1951-A28',2433805.55,1951,06,08,'Aerobee XASR-SC-1','-','SC 19','-','WS','',6,'Aeronomy'
'1951-M05',2433806.76,1951,06,09,'Aerobee XASR-SC-1','-','SC 18','-','WS','5',67,'Aeronomy'
'1951-M07',2433853.18,1951,07,25,'Aerobee RTV-A-1','-','USAF 15','-','HADC','',71,'Aeron'
'1951-S36',2433866.19,1951,08,07,'Aerobee RTV-A-1','-','USAF 16','-','HADC','',83,'Ionos'
'1951-M08',2433889.44,1951,08,30,'Aerobee RTV-A-1b','-','USAF 17','-','HADC','',75,'Test'
'1951-M09',2433902.98,1951,09,13,'Aerobee RTV-A-1','-','USAF 18','-','HADC','',76,'Aeronomy'
'1951-M10',2433910.19,1951,09,20,'Aerobee RTV-A-1','-','USAF 19','-','HADC','',71,'Biology'
'1951-M11',2433916.50,1951,09,27,'Aerobee XASR-SC-1','-','SC 21','-','WS','',69,'Aeron'
'1951-S43',2433937.26,1951,10,17,'Aerobee RTV-A-1a','-','USAF 20','-','HADC','',114,'Ionos'
'1951-M12',2433951.91,1951,11,01,'Aerobee XASR-SC-1','-','SC 20','-','WS','5',66,'Aeronomy'
'1951-S45',2433953.52,1951,11,03,'Aerobee XASR-SC-1','-','SC 22','-','WS','',82,'Aeronomy'
'1952-A20',2434042.36,1952,01,30,'Aerobee RTV-A-1a','-','USAF 21','-','HADC','',0,'Ionos'
'1952-S01',2434062.21,1952,02,19,'Aerobee RTV-N-10','-','NRL 7','-','WS','',81,'Solar/CR'
'1952-S02',2434072.11,1952,02,29,'Aerobee RTV-A-1','-','USAF 23','-','HADC','',88,'Aeronomy'
'1952-S03',2434125.23,1952,04,22,'Aerobee RTV-A-1','-','USAF 24','-','HADC','',116,'Ionos'
